Original comparison,Species,Majority protein IDs,Fasta headers,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank
50Vs5,yeast,Q12230,>sp|Q12230|LSP1_YEAST Sphingolipid long chain base-responsive protein LSP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSP1 PE=1 SV=1,10,9,9,36.7,31.7,31.7,38.071,8.63E+07,7.81E+07,7.59E+07,7.93E+07,9.01E+07,8.52E+07,26.3629,26.2186,26.178,26.2405,26.4254,26.344,0.404211,0.394265703,0.597544729,-0.0834668,0.064235593,0.064235593,0,0,0,1732
50Vs0.5,yeast,P53839,>sp|P53839|GOR1_YEAST Glyoxylate reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GOR1 PE=1 SV=1,7,7,7,29.1,29.1,29.1,38.831,9.46E+07,9.41E+07,9.41E+07,9.61E+07,1.04E+08,1.03E+08,26.4953,26.4878,26.4875,26.5186,26.6328,26.6162,0.961653,0.109231274,0.330336515,-0.0989997,-0.063957647,0.063957647,0,0,0,868
50Vs0.5,yeast,P00330,>sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5,17,17,10,62.4,62.4,37.9,36.849,1.59E+09,1.59E+09,1.57E+09,1.43E+09,1.56E+09,1.54E+09,30.5664,30.5642,30.5451,30.4109,30.5345,30.5201,0.65978,0.218887016,0.450296564,0.0700665,0.063857703,0.063857703,0,0,0,1276
50Vs0.5,yeast,Q08412,>sp|Q08412|CUE5_YEAST Ubiquitin-binding protein CUE5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUE5 PE=1 SV=1,1,1,1,3.2,3.2,3.2,46.869,3.29E+06,5.04E+06,5.18E+06,5.00E+06,4.42E+06,4.78E+06,21.6491,22.2661,22.3049,22.2524,22.0743,22.1879,0.156459,0.697494841,0.812299893,-0.0981674,-0.063328422,0.063328422,0,0,0,2254
50Vs0.5,yeast,P16120,>sp|P16120|THRC_YEAST Threonine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THR4 PE=1 SV=1,17,17,17,40.3,40.3,40.3,57.474,2.53E+08,2.50E+08,2.45E+08,2.74E+08,2.55E+08,2.73E+08,27.9154,27.8993,27.8701,28.0288,27.9274,28.0228,0.960785,0.109449807,0.330236487,-0.098067,-0.063252519,0.063252519,0,0,0,870
50Vs5,yeast,P07283,>sp|P07283|PMM_YEAST Phosphomannomutase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC53 PE=1 SV=1,11,11,11,41.7,41.7,41.7,29.063,1.23E+08,1.12E+08,1.20E+08,1.32E+08,1.23E+08,1.22E+08,26.8774,26.7354,26.8407,26.9783,26.8719,26.8565,0.555423,0.278340883,0.499074328,-0.0844008,0.063248007,0.063248007,0,0,0,1464
50Vs5,yeast,P32481,>sp|P32481|IF2G_YEAST Eukaryotic translation initiation factor 2 subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCD11 PE=1 SV=1,8,8,8,21.3,21.3,21.3,57.865,6.32E+07,6.22E+07,5.88E+07,6.88E+07,7.18E+07,7.15E+07,25.9144,25.8902,25.8093,26.0369,26.0981,26.0908,1.49954,0.031656289,0.211444677,-0.203967,-0.063178009,0.063178009,1,0,0,393
50Vs5,yeast,P35997;P38711,>sp|P35997|RS27_YEAST 40S ribosomal protein S27-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS27A PE=1 SV=1;>sp|P38711|RS27B_YEAST 40S ribosomal protein S27-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS27B PE=1 SV=1,4,4,4,46.3,46.3,46.3,8.8793,2.09E+08,1.97E+08,2.00E+08,1.98E+08,2.61E+08,2.43E+08,27.6397,27.5568,27.5722,27.5627,27.9585,27.8588,0.627729,0.235651929,0.465102492,-0.203767,-0.062966534,0.062966534,0,0,0,1330
50Vs5,yeast,Q12285,>sp|Q12285|MDY2_YEAST Ubiquitin-like protein MDY2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDY2 PE=1 SV=1,1,1,1,6.6,6.6,6.6,23.732,2.87E+06,2.74E+06,3.46E+06,3.02E+06,3.77E+06,2.84E+06,21.4541,21.3833,21.7213,21.5265,21.8464,21.4399,0.186375,0.651065976,0.780743804,-0.0846996,0.062932064,0.062932064,0,0,0,2189
50Vs0.5,yeast,P06168,">sp|P06168|ILV5_YEAST Ketol-acid reductoisomerase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV5 PE=1 SV=1",16,16,16,53.7,53.7,53.7,44.368,5.00E+08,4.85E+08,4.99E+08,5.17E+08,5.29E+08,5.42E+08,28.8966,28.8535,28.894,28.9449,28.9778,29.0143,1.24225,0.05724664,0.262714038,-0.0976334,-0.062924714,0.062924714,0,0,0,572
50Vs0.5,yeast,Q06505,>sp|Q06505|IWS1_YEAST Transcription factor SPN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPN1 PE=1 SV=1,2,2,2,6.6,6.6,6.6,46.082,3.72E+06,3.33E+06,3.59E+06,,3.39E+06,3.36E+06,21.8278,21.6692,21.7762,22.1921,21.6947,21.6792,0.198753,0.632771631,0.769705992,-0.0975978,-0.0628978,0.0628978,0,0,0,2158
50Vs0.5,yeast,P00128,>sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR7 PE=1 SV=2,2,2,2,20.5,20.5,20.5,14.565,1.24E+07,1.28E+07,1.38E+07,1.30E+07,1.28E+07,1.14E+07,23.5674,23.6112,23.7211,23.6311,23.6138,23.4485,0.345938,0.450881068,0.643940589,0.0687669,0.062875195,0.062875195,0,0,0,1838
50Vs0.5,yeast,A6ZYI0;B3LG61;P07170,>sp|A6ZYI0|KAD1_YEAS7 Adenylate kinase 1 OS=Saccharomyces cerevisiae (strain YJM789) GN=ADK1 PE=3 SV=1;>sp|B3LG61|KAD1_YEAS1 Adenylate kinase 1 OS=Saccharomyces cerevisiae (strain RM11-1a) GN=ADK1 PE=3 SV=1;>sp|P07170|KAD1_YEAST Adenylate kinase 1 OS=Sacch,10,10,10,55,55,55,24.253,2.44E+08,2.56E+08,2.46E+08,2.33E+08,2.40E+08,2.39E+08,27.8635,27.9341,27.8761,27.793,27.8392,27.8354,0.918546,0.120629631,0.340486862,0.0687008,0.062825223,0.062825223,0,0,0,930
50Vs5,yeast,P35179,>sp|P35179|SC61G_YEAST Protein transport protein SSS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSS1 PE=1 SV=2,1,1,1,12.5,12.5,12.5,8.9435,1.34E+07,1.42E+07,1.27E+07,1.54E+07,1.63E+07,1.49E+07,23.6799,23.7644,23.6038,23.8764,23.957,23.825,1.11026,0.077578254,0.286417604,-0.203434,-0.062614429,0.062614429,0,0,0,711
50Vs0.5,yeast,P26786,>sp|P26786|RS7A_YEAST 40S ribosomal protein S7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS7A PE=1 SV=4,7,7,5,50.5,50.5,41.1,21.622,3.34E+08,3.28E+08,3.26E+08,3.31E+08,3.69E+08,3.58E+08,28.3167,28.2898,28.2818,28.3042,28.4601,28.415,0.74977,0.177922143,0.406834168,-0.0970001,-0.062445934,0.062445934,0,0,0,1148
50Vs5,yeast,P00560,>sp|P00560|PGK_YEAST Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGK1 PE=1 SV=2,32,32,32,77.9,77.9,77.9,44.738,4.41E+09,4.41E+09,4.23E+09,4.35E+09,4.71E+09,4.79E+09,32.039,32.0388,31.9776,32.02,32.1325,32.1585,0.672529,0.212554841,0.446365165,-0.0852,0.062402955,0.062402955,0,0,0,1250
25Vs12.5,yeast,P40087,>sp|P40087|DDI1_YEAST DNA damage-inducible protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DDI1 PE=1 SV=1,2,2,2,3.7,3.7,3.7,47.354,3.28E+06,3.61E+06,3.71E+06,3.71E+06,3.40E+06,3.84E+06,21.6451,21.7852,21.8229,21.824,21.6974,21.8718,0.223648,0.597519386,0.748324612,-0.0466658,-0.062298901,0.062298901,0,0,0,2096
25Vs12.5,yeast,P06787,>sp|P06787|CALM_YEAST Calmodulin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CMD1 PE=1 SV=1,5,5,5,44.9,44.9,44.9,16.135,7.50E+07,6.92E+07,6.91E+07,7.37E+07,7.37E+07,7.27E+07,26.1597,26.0448,26.0416,26.1348,26.1361,26.115,0.445096,0.358842604,0.569161231,-0.0466003,-0.062101445,0.062101445,0,0,0,1655
50Vs5,yeast,P41338,>sp|P41338|THIL_YEAST Acetyl-CoA acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG10 PE=1 SV=3,12,12,12,45.7,45.7,45.7,41.728,2.35E+08,2.46E+08,2.39E+08,2.46E+08,2.57E+08,2.62E+08,27.8109,27.8733,27.8343,27.8739,27.936,27.9653,0.923927,0.119144226,0.338477915,-0.0855668,0.062015111,0.062015111,0,0,0,924
50Vs0.5,yeast,P39003;P39004,>sp|P39003|HXT6_YEAST High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT6 PE=1 SV=2;>sp|P39004|HXT7_YEAST High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=H,5,5,5,14.9,14.9,14.9,62.704,7.10E+07,6.72E+07,7.24E+07,7.01E+07,6.01E+07,7.13E+07,26.0814,26.0011,26.1101,26.0626,25.8408,26.0865,0.293351,0.508919392,0.683331665,0.0675672,0.061968213,0.061968213,0,0,0,1955
50Vs0.5,yeast,P53184,>sp|P53184|PNC1_YEAST Nicotinamidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PNC1 PE=1 SV=1,5,5,5,30.1,30.1,30.1,24.993,2.51E+08,2.56E+08,2.40E+08,2.58E+08,2.68E+08,2.73E+08,27.9023,27.9342,27.8373,27.9422,27.9981,28.0217,0.914391,0.121789262,0.34046519,-0.0960668,-0.061740352,0.061740352,0,0,0,939
50Vs0.5,yeast,A6ZT71;B3LSS7;B5VK90;P38858,>sp|A6ZT71|SOL3_YEAS7 6-phosphogluconolactonase 3 OS=Saccharomyces cerevisiae (strain YJM789) GN=SOL3 PE=3 SV=1;>sp|B3LSS7|SOL3_YEAS1 6-phosphogluconolactonase 3 OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SOL3 PE=3 SV=1;>sp|B5VK90|SOL3_YEAS6 6-phospho,5,5,5,24.1,24.1,24.1,27.784,3.50E+07,3.06E+07,2.93E+07,3.19E+07,3.49E+07,3.43E+07,25.0605,24.8678,24.802,24.9291,25.0556,25.0334,0.415344,0.384287272,0.589569894,-0.0959333,-0.061639425,0.061639425,0,0,0,1711
50Vs5,yeast,P16387,">sp|P16387|ODPA_YEAST Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDA1 PE=1 SV=2",5,5,5,14,14,14,46.343,1.28E+07,1.13E+07,1.43E+07,1.55E+07,1.55E+07,1.30E+07,23.6091,23.4241,23.7675,23.8863,23.8877,23.6339,0.584323,0.260421598,0.487246397,-0.202399,-0.061520049,0.061520049,0,0,0,1403
50Vs5,yeast,P32915,>sp|P32915|SC61A_YEAST Protein transport protein SEC61 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC61 PE=1 SV=1,1,1,1,2.3,2.3,2.3,52.936,3.80E+06,4.05E+06,4.34E+06,4.11E+06,4.81E+06,,21.8594,21.9482,22.05,21.9712,22.1963,21.9482,0.3313,0.466337135,0.65426776,-0.0860405,0.061514233,0.061514233,0,0,0,1871
50Vs0.5,yeast,P09436,">sp|P09436|SYIC_YEAST Isoleucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILS1 PE=1 SV=1",24,24,24,30,30,30,122.98,2.24E+08,2.09E+08,2.07E+08,2.17E+08,2.32E+08,2.35E+08,27.7395,27.6369,27.6225,27.6906,27.7899,27.8056,0.68998,0.204183197,0.437178542,-0.095733,-0.061487997,0.061487997,0,0,0,1226
25Vs12.5,yeast,Q00764,">sp|Q00764|TPS1_YEAST Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPS1 PE=1 SV=2",8,8,8,22.2,22.2,22.2,56.147,3.20E+07,2.99E+07,3.07E+07,2.92E+07,3.15E+07,3.50E+07,24.9306,24.8317,24.8703,24.801,24.9078,25.0626,0.2032,0.626325365,0.765055413,-0.0462672,-0.061097285,0.061097285,0,0,0,2149
25Vs12.5,yeast,P39015,>sp|P39015|STM1_YEAST Suppressor protein STM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STM1 PE=1 SV=3,13,13,13,54.2,54.2,54.2,29.995,2.76E+08,2.80E+08,2.91E+08,2.86E+08,2.76E+08,2.88E+08,28.0404,28.059,28.1151,28.0909,28.0397,28.1011,0.063767,0.863441662,0.92587188,-0.00573349,0.061095205,0.061095205,0,0,0,2448
50Vs5,yeast,Q3E841,>sp|Q3E841|YN034_YEAST Uncharacterized protein YNR034W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNR034W-A PE=1 SV=1,5,5,5,69.4,69.4,69.4,10.781,9.29E+07,9.28E+07,9.20E+07,1.03E+08,1.07E+08,1.09E+08,26.4688,26.4676,26.4546,26.6162,26.6765,26.7042,1.77917,0.016627617,0.181109931,-0.201967,-0.061063264,0.061063264,1,0,0,241
25Vs12.5,yeast,A6ZMC1;B3LLV5;B5VPI9;C7GL62;C8ZER4;Q04728,">sp|A6ZMC1|ARGJ_YEAS7 Arginine biosynthesis bifunctional protein ArgJ, mitochondrial OS=Saccharomyces cerevisiae (strain YJM789) GN=ARG7 PE=3 SV=1;>sp|B3LLV5|ARGJ_YEAS1 Arginine biosynthesis bifunctional protein ArgJ, mitochondrial OS=Saccharomyces cerevis",4,4,4,8.4,8.4,8.4,47.848,1.61E+07,1.83E+07,1.85E+07,1.86E+07,1.79E+07,1.66E+07,23.9428,24.1271,24.1381,24.1485,24.0903,23.9866,0.0230958,0.948209277,0.970768078,-0.00580025,0.060893951,0.060893951,0,0,0,2564
50Vs0.5,yeast,P38840,>sp|P38840|ARO9_YEAST Aromatic amino acid aminotransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO9 PE=1 SV=3,7,7,7,17.2,17.2,17.2,58.527,4.03E+07,4.12E+07,4.26E+07,3.83E+07,4.01E+07,4.02E+07,25.2648,25.2962,25.3452,25.1917,25.2558,25.2609,0.749649,0.177971721,0.406239798,0.0659326,0.060732443,0.060732443,0,0,0,1150
50Vs5,yeast,P11633,>sp|P11633|NHP6B_YEAST Non-histone chromosomal protein 6B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NHP6B PE=1 SV=3,1,1,1,13.1,13.1,13.1,11.476,1.06E+07,1.08E+07,9.72E+06,1.17E+07,1.21E+07,1.21E+07,23.3419,23.368,23.2127,23.4753,23.524,23.5279,1.23447,0.058281403,0.262867154,-0.201534,-0.060605422,0.060605422,0,0,0,582
50Vs0.5,yeast,P28495,>sp|P28495|CAPZA_YEAST F-actin-capping protein subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAP1 PE=1 SV=1,2,2,2,9.3,9.3,9.3,30.699,8.25E+06,8.03E+06,6.82E+06,8.71E+06,7.02E+06,8.99E+06,22.9764,22.9374,22.7008,23.0549,22.7435,23.0995,0.24213,0.572624598,0.730388518,-0.0944328,-0.060505036,0.060505036,0,0,0,2058
50Vs5,yeast,P23641,>sp|P23641|MPCP_YEAST Mitochondrial phosphate carrier protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIR1 PE=1 SV=1,8,8,8,38.6,38.6,38.6,32.812,5.37E+07,5.09E+07,4.77E+07,5.74E+07,5.86E+07,5.89E+07,25.6796,25.6,25.5086,25.7752,25.8042,25.8123,1.23671,0.057981574,0.264238944,-0.201166,-0.060216309,0.060216309,0,0,0,576
50Vs5,yeast,P32469,>sp|P32469|DPH5_YEAST Diphthine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPH5 PE=1 SV=1,2,2,2,12.3,12.3,12.3,33.847,1.72E+07,1.81E+07,1.80E+07,1.95E+07,1.82E+07,1.89E+07,24.0328,24.112,24.1029,24.2165,24.1213,24.172,0.844045,0.143203951,0.36817862,-0.0873667,0.060111946,0.060111946,0,0,0,1021
50Vs0.5,yeast,P04840,>sp|P04840|VDAC1_YEAST Mitochondrial outer membrane protein porin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POR1 PE=1 SV=4,15,15,15,57.2,57.2,57.2,30.428,5.73E+08,5.69E+08,5.83E+08,5.55E+08,5.46E+08,5.48E+08,29.0929,29.085,29.1194,29.0484,29.0252,29.0287,1.44458,0.035926921,0.22086222,0.0649993,0.060026861,0.060026861,1,0,0,427
50Vs5,yeast,Q05016,>sp|Q05016|YM71_YEAST Uncharacterized oxidoreductase YMR226C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR226C PE=1 SV=1,11,11,11,63.3,63.3,63.3,29.158,1.78E+08,1.76E+08,1.77E+08,1.91E+08,2.10E+08,2.10E+08,27.4062,27.3899,27.3957,27.5091,27.6426,27.6429,1.33446,0.04629563,0.244519173,-0.200933,-0.059969941,0.059969941,1,0,0,497
50Vs0.5,yeast,P16861,>sp|P16861|K6PF1_YEAST 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK1 PE=1 SV=1,28,28,27,38.7,38.7,37.8,107.97,3.92E+08,4.39E+08,4.15E+08,4.18E+08,4.53E+08,4.58E+08,28.5468,28.7085,28.6272,28.6387,28.7534,28.7707,0.563788,0.273031025,0.495305074,-0.093434,-0.059749935,0.059749935,0,0,0,1447
50Vs5,yeast,Q12329,>sp|Q12329|HSP42_YEAST Heat shock protein 42 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP42 PE=1 SV=1,3,3,3,8.5,8.5,8.5,42.816,4.94E+06,4.50E+06,4.52E+06,1.12E+07,3.50E+06,3.08E+06,22.2358,22.1016,22.1093,23.4162,21.7393,21.5544,0.0476484,0.896089936,0.943158012,-0.087733,0.05972463,0.05972463,0,0,0,2494
50Vs0.5,yeast,P26784,>sp|P26784|RL16A_YEAST 60S ribosomal protein L16-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL16A PE=1 SV=3,8,5,5,36.2,25.1,25.1,22.201,5.13E+07,4.18E+07,4.91E+07,6.36E+07,4.27E+07,4.70E+07,25.6117,25.3174,25.5484,25.9215,25.3494,25.4868,0.168713,0.67808947,0.799993194,-0.093399,-0.059723475,0.059723475,0,0,0,2225
50Vs5,yeast,P28241,">sp|P28241|IDH2_YEAST Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDH2 PE=1 SV=1",8,8,8,37.9,37.9,37.9,39.739,1.42E+08,1.42E+08,1.48E+08,1.61E+08,1.74E+08,1.63E+08,27.0841,27.0822,27.1419,27.259,27.3741,27.277,1.41021,0.038885707,0.225331084,-0.200634,-0.059653786,0.059653786,1,0,0,453
50Vs5,yeast,P19097,>sp|P19097|FAS2_YEAST Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS2 PE=1 SV=2,49,49,49,34.4,34.4,34.4,206.94,6.30E+08,6.19E+08,6.15E+08,6.67E+08,7.33E+08,7.44E+08,29.231,29.2045,29.1954,29.3124,29.4492,29.4712,1.23243,0.058555811,0.263651807,-0.200633,-0.059652729,0.059652729,0,0,0,583
50Vs0.5,yeast,P18544,">sp|P18544|ARGD_YEAST Acetylornithine aminotransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG8 PE=1 SV=1",1,1,1,3.8,3.8,3.8,46.681,4.23E+06,3.69E+06,5.29E+06,,3.51E+06,4.29E+06,22.0122,21.8145,22.3338,22.1921,21.7427,22.0324,0.108797,0.77840031,0.867643657,0.0644347,0.059600019,0.059600019,0,0,0,2355
50Vs5,yeast,Q04409,>sp|Q04409|EMI2_YEAST Putative glucokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMI2 PE=1 SV=1,9,8,8,19,16,16,55.92,4.15E+07,3.80E+07,4.16E+07,4.29E+07,4.46E+07,4.12E+07,25.3067,25.18,25.3116,25.3546,25.4112,25.2961,0.60619,0.247633844,0.477267872,-0.0878671,0.059582837,0.059582837,0,0,0,1362
50Vs0.5,yeast,P32454,">sp|P32454|APE2_YEAST Aminopeptidase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APE2 PE=1 SV=4",19,19,17,23.6,23.6,21.8,107.75,1.16E+08,1.10E+08,1.06E+08,1.23E+08,1.11E+08,1.21E+08,26.7909,26.7133,26.663,26.8693,26.7283,26.849,0.606545,0.247431507,0.477579195,-0.0931339,-0.059523057,0.059523057,0,0,0,1360
25Vs12.5,yeast,P32449,">sp|P32449|AROG_YEAST Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO4 PE=1 SV=2",7,7,7,23.8,23.8,23.8,39.749,7.47E+07,8.10E+07,7.80E+07,7.97E+07,7.66E+07,7.83E+07,26.1537,26.2709,26.2171,26.2483,26.1903,26.222,0.0540685,0.882940626,0.935696061,-0.00629997,0.059387501,0.059387501,0,0,0,2477
50Vs0.5,yeast,P32563,">sp|P32563|VPH1_YEAST V-type proton ATPase subunit a, vacuolar isoform OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPH1 PE=1 SV=3",4,4,4,5.4,5.4,5.4,95.528,1.12E+07,1.08E+07,9.22E+06,9.97E+06,1.15E+07,1.19E+07,23.4189,23.3692,23.1366,23.2497,23.4519,23.5018,0.294147,0.50798747,0.683478784,-0.0929006,-0.059346681,0.059346681,0,0,0,1951
50Vs0.5,yeast,P15180,">sp|P15180|SYKC_YEAST Lysine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRS1 PE=1 SV=2",12,12,12,26.1,26.1,26.1,67.958,1.23E+08,1.27E+08,1.17E+08,1.28E+08,1.36E+08,1.28E+08,26.8782,26.9222,26.8001,26.9267,27.0221,26.9299,0.721335,0.189961242,0.422225453,-0.0927334,-0.059220276,0.059220276,0,0,0,1181
50Vs5,yeast,P04802,">sp|P04802|SYDC_YEAST Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPS1 PE=1 SV=3",17,17,17,39.1,39.1,39.1,63.515,2.61E+08,2.43E+08,2.53E+08,2.53E+08,2.72E+08,2.79E+08,27.9598,27.8557,27.9138,27.9158,28.0204,28.0578,0.633864,0.232346428,0.464515897,-0.0882333,0.059195627,0.059195627,0,0,0,1313
25Vs12.5,yeast,P35691,>sp|P35691|TCTP_YEAST Translationally-controlled tumor protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA19 PE=1 SV=1,7,7,7,34.7,34.7,34.7,18.741,4.28E+08,4.66E+08,4.83E+08,4.69E+08,4.50E+08,4.62E+08,28.6739,28.7942,28.8465,28.8046,28.7461,28.783,0.0377547,0.91673814,0.953800086,-0.00636609,0.059188176,0.059188176,0,0,0,2523
50Vs0.5,yeast,P41807,>sp|P41807|VATH_YEAST V-type proton ATPase subunit H OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA13 PE=1 SV=1,4,4,4,9.8,9.8,9.8,54.415,1.74E+07,1.85E+07,1.91E+07,1.68E+07,1.76E+07,1.83E+07,24.0544,24.1427,24.1896,23.9996,24.0728,24.1229,0.450114,0.354720265,0.566387284,0.0638002,0.059120332,0.059120332,0,0,0,1644
50Vs5,yeast,P16521,>sp|P16521|EF3A_YEAST Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEF3 PE=1 SV=4,35,35,35,48.5,48.5,48.5,115.94,1.32E+09,1.33E+09,1.28E+09,1.34E+09,1.41E+09,1.44E+09,30.2943,30.3134,30.2551,30.3178,30.3917,30.4184,0.901754,0.12538512,0.344284456,-0.0883668,0.059054468,0.059054468,0,0,0,956
50Vs0.5,yeast,P39516;P06367,>sp|P39516|RS14B_YEAST 40S ribosomal protein S14-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS14B PE=1 SV=2;>sp|P06367|RS14A_YEAST 40S ribosomal protein S14-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS14A PE=1 SV=5,9,9,9,68.8,68.8,68.8,14.65,2.61E+08,2.71E+08,2.78E+08,2.46E+08,2.63E+08,2.66E+08,27.962,28.0114,28.0504,27.8727,27.9718,27.9882,0.542957,0.286446157,0.507369205,0.0637004,0.059044882,0.059044882,0,0,0,1482
50Vs0.5,yeast,P10592,>sp|P10592|HSP72_YEAST Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA2 PE=1 SV=3,34,10,8,69.6,24.4,20.7,69.469,3.78E+08,3.81E+08,3.67E+08,3.92E+08,3.96E+08,4.12E+08,28.4945,28.5035,28.4505,28.5479,28.5602,28.6169,1.12336,0.075273134,0.284714665,-0.0921663,-0.058791544,0.058791544,0,0,0,694
25Vs12.5,yeast,P53297,>sp|P53297|PBP1_YEAST PAB1-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PBP1 PE=1 SV=1,2,2,2,4.3,4.3,4.3,78.78,3.49E+06,3.97E+06,3.56E+06,,4.19E+06,3.47E+06,21.7359,21.9214,21.7616,21.8307,21.9997,21.7249,0.160773,0.690600677,0.807495224,-0.0454826,-0.058732038,0.058732038,0,0,0,2245
50Vs0.5,yeast,P00899,>sp|P00899|TRPE_YEAST Anthranilate synthase component 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRP2 PE=1 SV=4,7,7,7,18.1,18.1,18.1,56.767,3.35E+07,3.56E+07,3.37E+07,3.00E+07,3.47E+07,3.38E+07,24.9959,25.0841,25.0083,24.8398,25.0465,25.0122,0.337688,0.459528022,0.649575153,0.0632674,0.058717531,0.058717531,0,0,0,1857
