Original comparison,Species,Protein Name,"seq coverage 0,5fmol/µg","seq coverage 5fmol/µg","seq coverage 12,5fmol/µg","seq coverage 25fmol/µg","seq coverage50fmol/µg","shared peptides, 0.5fmol/µg","shared peptides, 5fmol/µg","shared peptides, 12.5fmol/µg","shared peptide, 25fmol/µg","shared peptide, 50fmol/µg","discriminant peptides, 0.5fmol/µg","discriminant peptides, 5fmol/µg","discriminant peptides, 12.5fmol/µg","discriminant peptides, 25fmol/µg","discriminant peptides, 50fmol/µg",Mol. weight [kDa],Protein description,A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank,,,
50Vs5,Yeast,sp|P43590,0%,0%,3%,0%,3%,0,0,0,0,0,0,0,1,0,1,61756.2, Uncharacterized peptidase YFR006W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFR006W PE=1 SV=1,4.05E+08,2.72E+08,2.71E+08,1.76E+08,6.85E+08,1.63E+08,28.59,28.02,28.01,27.39,29.35,27.28,0.09699,0.79985,0.87759,0.20227,0.03869,0.03869,0,0,0,2387,,,
50Vs5,Yeast,sp|P40054,14%,14%,12%,14%,14%,0,0,0,0,0,4,4,4,4,4,51194.1, D-3-phosphoglycerate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SER3 PE=1 SV=1,1.32E+09,1.37E+09,1.49E+09,1.44E+09,1.47E+09,1.33E+09,30.30,30.35,30.47,30.43,30.45,30.31,0.09591,0.80185,0.87941,-0.01960,-0.17962,0.17962,0,0,0,2388,,,
50Vs5,Yeast,sp|P32469,12%,4%,6%,6%,4%,0,0,0,0,0,2,1,1,1,1,33848.5, Diphthine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPH5 PE=1 SV=1,7.11E+08,6.69E+08,6.08E+08,7.47E+08,8.46E+08,5.21E+08,29.40,29.32,29.18,29.48,29.66,28.96,0.09580,0.80205,0.87926,-0.06287,-0.22219,0.22219,0,0,0,2389,,,
50Vs0.5,Yeast,sp|Q00764,0%,3%,4%,6%,3%,0,0,0,0,0,0,1,1,2,1,56148.3," Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPS1 PE=1 SV=2",2.82E+08,5.43E+08,2.00E+08,2.62E+08,3.77E+08,4.08E+08,28.07,29.02,27.57,27.96,28.49,28.61,0.09543,0.80273,0.87964,-0.13297,-0.21921,0.21921,0,0,0,2390,,,
50Vs0.5,Yeast,sp|P21304,0%,2%,0%,0%,0%,0,0,0,0,0,0,1,0,0,0,63804.4, Periodic tryptophan protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PWP1 PE=1 SV=1,5.01E+07,7.91E+07,9.86E+07,4.63E+07,9.03E+07,7.40E+07,25.58,26.24,26.55,25.46,26.43,26.14,0.09299,0.80725,0.88423,0.11263,0.00577,0.00577,0,0,0,2391,,,
50Vs5,Yeast,"sp|A6ZPB3,sp|P12962",0%,0%,9%,0%,9%,0,0,0,0,0,0,0,1,0,1,18209.3, Cap-associated protein CAF20 OS=Saccharomyces cerevisiae (strain YJM789) GN=CAF20 PE=3 SV=1,2.07E+08,1.97E+08,1.86E+08,2.06E+08,1.85E+08,1.93E+08,27.63,27.56,27.47,27.62,27.46,27.53,0.09270,0.80779,0.88445,0.01743,-0.14318,0.14318,0,0,0,2392,,,
50Vs5,Yeast,sp|P39077,0%,0%,4%,0%,2%,0,0,0,0,0,0,0,2,0,1,58814.7, T-complex protein 1 subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT3 PE=1 SV=2,4.59E+08,3.33E+08,4.14E+08,5.66E+08,3.14E+08,4.19E+08,28.77,28.31,28.62,29.08,28.23,28.64,0.09266,0.80787,0.88417,-0.07770,-0.23678,0.23678,0,0,0,2393,,,
25Vs12.5,Yeast,sp|P40087,2%,3%,2%,2%,2%,0,0,0,0,0,1,2,1,1,1,47356.8, DNA damage-inducible protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DDI1 PE=1 SV=1,1.46E+08,1.59E+08,1.63E+08,1.88E+08,9.97E+07,1.72E+08,27.12,27.25,27.28,27.49,26.57,27.36,0.09253,0.80812,0.88407,0.08003,-0.18788,0.18788,0,0,0,2394,,,
50Vs0.5,Yeast,sp|Q12165,15%,15%,0%,0%,15%,0,0,0,0,0,1,1,0,0,1,17020.4," ATP synthase subunit delta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP16 PE=1 SV=1",3.98E+08,3.57E+08,4.10E+08,3.97E+08,4.16E+08,3.69E+08,28.57,28.41,28.61,28.56,28.63,28.46,0.09241,0.80834,0.88394,-0.02193,-0.11750,0.11750,0,0,0,2395,,,
50Vs5,Yeast,sp|P40363,6%,0%,6%,0%,0%,0,0,0,0,0,1,0,1,0,0,33934.9, S-formylglutathione hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJL068C PE=1 SV=1,1.06E+08,9.62E+07,9.60E+07,1.03E+08,7.50E+07,1.14E+08,26.66,26.52,26.52,26.62,26.16,26.76,0.09223,0.80867,0.88394,0.05170,-0.10946,0.10946,0,0,0,2396,,,
50Vs0.5,Yeast,sp|P53312,12%,10%,10%,7%,6%,0,0,0,0,0,4,3,3,2,2,46902.1," Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSC2 PE=1 SV=1",1.09E+09,1.16E+09,9.46E+08,1.03E+09,1.03E+09,1.07E+09,30.02,30.11,29.82,29.94,29.94,30.00,0.09203,0.80905,0.88398,0.02447,-0.07499,0.07499,0,0,0,2397,,,
50Vs5,Yeast,sp|P22336,2%,0%,2%,0%,0%,0,0,0,0,0,1,0,1,0,0,70350.2, Replication factor A protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFA1 PE=1 SV=1,7.33E+07,7.98E+07,6.57E+07,8.17E+07,7.10E+07,6.09E+07,26.13,26.25,25.97,26.28,26.08,25.86,0.09198,0.80913,0.88370,0.04040,-0.12058,0.12058,0,0,0,2398,,,
50Vs0.5,Yeast,sp|Q12074,19%,17%,10%,13%,9%,0,0,0,0,0,5,4,2,3,2,33324.4, Spermidine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPE3 PE=1 SV=1,3.34E+09,3.35E+09,3.45E+09,3.60E+09,2.75E+09,3.61E+09,31.64,31.64,31.68,31.75,31.36,31.75,0.09156,0.80991,0.88419,0.03587,-0.06455,0.06455,0,0,0,2399,,,
50Vs0.5,Yeast,sp|P11076,12%,19%,21%,23%,10%,2,2,2,2,0,0,0,0,1,1,20530.1, ADP-ribosylation factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARF1 PE=1 SV=3,5.71E+09,4.90E+09,4.86E+09,5.92E+09,5.25E+09,4.69E+09,32.41,32.19,32.18,32.46,32.29,32.13,0.09129,0.81041,0.88436,-0.03357,-0.12816,0.12816,0,0,0,2400,,,
50Vs0.5,Yeast,sp|Q08202,6%,0%,0%,0%,0%,0,0,0,0,0,1,0,0,0,0,27168.0, Protein OPI10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OPI10 PE=1 SV=1,7.70E+07,5.09E+07,1.66E+08,9.18E+07,1.24E+08,7.75E+07,26.20,25.60,27.30,26.45,26.88,26.21,0.09111,0.81075,0.88436,-0.14637,-0.23149,0.23149,0,0,0,2401,,,
50Vs5,Yeast,sp|P57744,20%,0%,20%,0%,20%,0,0,0,0,0,1,0,1,0,1,9764.0, Mitochondrial import inner membrane translocase subunit TIM8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM8 PE=1 SV=1,7.47E+07,1.32E+08,7.42E+07,9.32E+07,9.40E+07,9.75E+07,26.15,26.98,26.14,26.47,26.49,26.54,0.09091,0.81112,0.88440,-0.07510,-0.23422,0.23422,0,0,0,2402,,,
25Vs12.5,Yeast,sp|Q06146,8%,6%,6%,0%,6%,0,0,0,0,0,1,1,1,0,1,35999.3, Uncharacterized protein YLR257W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR257W PE=1 SV=1,1.81E+08,1.60E+08,2.18E+08,2.20E+08,2.66E+08,1.30E+08,27.43,27.25,27.70,27.71,27.99,26.95,0.09085,0.81125,0.88417,-0.09130,-0.50940,0.50940,0,0,0,2403,,,
25Vs12.5,Yeast,sp|P37292,8%,8%,8%,10%,10%,0,0,0,0,0,2,3,2,3,3,53688.0," Serine hydroxymethyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHM1 PE=1 SV=2",1.51E+09,1.84E+09,1.87E+09,1.78E+09,1.59E+09,1.73E+09,30.49,30.77,30.80,30.73,30.57,30.69,0.09068,0.81155,0.88413,0.02970,-0.28233,0.28233,0,0,0,2404,,,
50Vs5,Yeast,"sp|P0CX29,sp|P0CX30",26%,20%,20%,26%,26%,0,0,0,0,0,2,2,2,2,2,16038.3, 40S ribosomal protein S23-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS23A PE=1 SV=1,2.14E+09,1.88E+09,1.80E+09,2.07E+09,1.96E+09,1.67E+09,30.99,30.81,30.74,30.95,30.87,30.64,0.08940,0.81395,0.88638,0.03197,-0.12888,0.12888,0,0,0,2405,,,
50Vs0.5,Yeast,sp|P06787,22%,31%,31%,27%,25%,0,0,0,0,0,2,3,3,3,2,16135.5, Calmodulin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CMD1 PE=1 SV=1,1.45E+09,1.49E+09,1.29E+09,1.36E+09,1.38E+09,1.44E+09,30.44,30.47,30.26,30.34,30.36,30.42,0.08895,0.81480,0.88693,0.01840,-0.08055,0.08055,0,0,0,2406,,,
50Vs0.5,Yeast,sp|P32623,2%,0%,2%,2%,0%,0,0,0,0,0,1,0,1,1,0,49906.2, Probable glycosidase CRH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTR2 PE=1 SV=3,6.53E+08,6.99E+08,5.97E+06,3.68E+07,4.31E+07,4.24E+08,29.28,29.38,22.51,25.13,25.36,28.66,0.08833,0.81596,0.88782,0.67347,0.51953,0.51953,0,0,0,2407,,,
50Vs0.5,Yeast,sp|P40363,6%,0%,6%,0%,0%,0,0,0,0,0,1,0,1,0,0,33934.9, S-formylglutathione hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJL068C PE=1 SV=1,1.06E+08,9.62E+07,9.60E+07,4.20E+07,1.34E+08,1.29E+08,26.66,26.52,26.52,25.32,27.00,26.94,0.08756,0.81740,0.88903,0.14480,0.03524,0.03524,0,0,0,2408,,,
50Vs0.5,Yeast,sp|P37012,13%,15%,15%,14%,16%,0,0,0,0,0,5,5,6,5,6,63091.2, Phosphoglucomutase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGM2 PE=1 SV=1,2.96E+09,2.74E+09,3.11E+09,2.95E+09,2.88E+09,2.88E+09,31.46,31.35,31.53,31.46,31.42,31.42,0.08723,0.81803,0.88934,0.01433,-0.08428,0.08428,0,0,0,2409,,,
50Vs5,Yeast,sp|P49090,11%,12%,13%,12%,11%,1,1,1,1,1,3,3,4,3,3,64595.5, Asparagine synthetase [glutamine-hydrolyzing] 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASN2 PE=1 SV=2,3.91E+09,3.57E+09,4.00E+09,3.85E+09,4.01E+09,3.73E+09,31.86,31.73,31.90,31.84,31.90,31.80,0.08714,0.81820,0.88916,-0.01540,-0.17548,0.17548,0,0,0,2410,,,
50Vs0.5,Yeast,sp|P38791,3%,0%,0%,3%,0%,0,0,0,0,0,1,0,0,1,0,42893.6, Deoxyhypusine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DYS1 PE=1 SV=1,6.14E+07,2.58E+08,2.58E+08,1.90E+08,1.89E+08,1.65E+08,25.87,27.94,27.94,27.50,27.50,27.30,0.08669,0.81906,0.88972,-0.18043,-0.26269,0.26269,0,0,0,2411,,,
50Vs0.5,Yeast,sp|P07244,0%,3%,0%,2%,0%,0,0,0,0,0,0,2,0,1,0,86068.6," Bifunctional purine biosynthetic protein ADE5,7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE5,7 PE=1 SV=1",4.19E+08,6.13E+08,5.55E+08,5.09E+08,6.00E+08,5.14E+08,28.64,29.19,29.05,28.92,29.16,28.94,0.08587,0.82060,0.89102,-0.04683,-0.14031,0.14031,0,0,0,2412,,,
25Vs12.5,Yeast,sp|P38115,10%,8%,8%,9%,11%,0,0,0,0,0,2,2,2,2,2,38885.2, D-arabinose dehydrogenase [NAD(P)+] heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARA1 PE=1 SV=1,1.76E+09,2.03E+09,2.00E+09,2.00E+09,1.95E+09,1.90E+09,30.71,30.92,30.90,30.90,30.86,30.82,0.08580,0.82072,0.89079,-0.01797,-0.37179,0.37179,0,0,0,2413,,,
25Vs12.5,Yeast,sp|P33298,0%,4%,0%,0%,0%,0,0,0,0,0,0,1,0,0,0,47895.3, 26S protease regulatory subunit 6B homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT3 PE=1 SV=2,1.96E+07,1.49E+08,1.42E+08,9.86E+07,1.76E+07,1.19E+08,24.22,27.15,27.09,26.55,24.07,26.83,0.08514,0.82198,0.89179,0.33373,0.28822,0.28822,0,0,0,2414,,,
25Vs12.5,Yeast,sp|P04076,11%,6%,8%,8%,8%,0,0,0,0,0,4,2,3,3,3,51991.4, Argininosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG4 PE=1 SV=2,1.78E+09,5.24E+09,4.20E+09,3.61E+09,3.66E+09,3.82E+09,30.73,32.29,31.97,31.75,31.77,31.83,0.08499,0.82227,0.89172,-0.12117,-0.56545,0.56545,0,0,0,2415,,,
25Vs12.5,Yeast,sp|P21242,5%,5%,5%,5%,5%,0,0,0,0,0,1,1,1,1,1,31536.4, Proteasome component C1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE10 PE=1 SV=2,1.51E+08,1.86E+08,1.25E+08,1.78E+08,1.23E+08,1.84E+08,27.17,27.47,26.90,27.40,26.87,27.46,0.08440,0.82337,0.89255,-0.06327,-0.45679,0.45679,0,0,0,2416,,,
25Vs12.5,Yeast,sp|P34167,14%,12%,16%,11%,4%,0,0,0,0,0,3,3,4,3,1,48522.5, Eukaryotic translation initiation factor 4B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF3 PE=1 SV=1,2.20E+09,2.21E+09,1.93E+09,2.44E+09,1.97E+09,1.82E+09,31.03,31.04,30.84,31.18,30.87,30.76,0.08354,0.82500,0.89395,0.03580,-0.27089,0.27089,0,0,0,2417,,,
50Vs5,Yeast,sp|Q00764,0%,3%,4%,6%,3%,0,0,0,0,0,0,1,1,2,1,56148.3," Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPS1 PE=1 SV=2",2.82E+08,5.43E+08,2.00E+08,2.11E+08,4.23E+08,4.55E+08,28.07,29.02,27.57,27.65,28.66,28.76,0.08246,0.82707,0.89582,-0.13703,-0.29516,0.29516,0,0,0,2418,,,
50Vs5,Yeast,sp|P38840,2%,4%,4%,7%,7%,0,0,0,0,0,1,2,2,3,3,58530.7, Aromatic amino acid aminotransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO9 PE=1 SV=3,1.19E+09,1.16E+09,9.90E+08,1.14E+09,1.15E+09,1.09E+09,30.15,30.11,29.88,30.09,30.10,30.02,0.08218,0.82760,0.89602,-0.02147,-0.18145,0.18145,0,0,0,2419,,,
50Vs0.5,Yeast,sp|P31373,43%,47%,48%,44%,40%,0,0,0,0,0,11,10,10,10,9,42542.8, Cystathionine gamma-lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYS3 PE=1 SV=2,1.24E+10,1.19E+10,1.22E+10,1.27E+10,1.21E+10,1.20E+10,33.53,33.47,33.51,33.56,33.49,33.48,0.08128,0.82931,0.89751,-0.00733,-0.10412,0.10412,0,0,0,2420,,,
50Vs5,Yeast,sp|P15274,0%,0%,1%,1%,2%,0,0,0,0,0,0,0,1,1,2,93304.3, AMP deaminase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AMD1 PE=1 SV=2,3.70E+07,1.13E+07,1.68E+07,5.39E+07,5.66E+06,4.12E+07,25.14,23.43,24.00,25.68,22.43,25.29,0.08117,0.82952,0.89736,-0.27940,-0.43524,0.43524,0,0,0,2421,,,
25Vs12.5,Yeast,"sp|P0CX31,sp|P0CX32",20%,22%,18%,18%,18%,0,0,0,0,0,3,3,2,2,2,15329.0, 40S ribosomal protein S24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS24A PE=1 SV=1,2.24E+09,5.03E+09,2.85E+09,2.44E+09,4.37E+09,2.40E+09,31.06,32.23,31.41,31.18,32.03,31.16,0.08077,0.83028,0.89782,0.10900,-0.13352,0.13352,0,0,0,2422,,,
25Vs12.5,Yeast,sp|P89886,5%,8%,9%,5%,7%,0,0,0,0,0,1,1,2,1,1,20278.3, Translation machinery-associated protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA20 PE=1 SV=1,4.12E+08,3.78E+08,4.31E+08,3.99E+08,4.30E+08,3.76E+08,28.62,28.50,28.68,28.57,28.68,28.49,0.08064,0.83054,0.89772,0.01900,-0.30241,0.30241,0,0,0,2423,,,
50Vs5,Yeast,sp|Q04304,6%,0%,0%,0%,0%,0,0,0,0,0,1,0,0,0,0,24882.9, UPF0659 protein YMR090W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR090W PE=1 SV=1,1.02E+08,5.67E+07,2.12E+08,7.74E+07,9.76E+07,1.21E+08,26.61,25.76,27.66,26.21,26.54,26.85,0.08053,0.83074,0.89757,0.14103,-0.02156,0.02156,0,0,0,2424,,,
50Vs0.5,Yeast,sp|E7Q4T7,6%,4%,6%,3%,3%,0,0,0,0,0,2,1,2,1,1,51241.8, Cruciform DNA-recognizing protein 1 OS=Saccharomyces cerevisiae (strain FostersB) GN=CRP1 PE=3 SV=1,4.18E+08,3.28E+08,4.71E+08,3.53E+08,3.06E+08,5.21E+08,28.64,28.29,28.81,28.39,28.19,28.96,0.08009,0.83158,0.89811,0.06660,-0.03640,0.03640,0,0,0,2425,,,
50Vs0.5,Yeast,sp|P07262,53%,48%,52%,49%,52%,5,4,3,4,4,11,10,11,10,11,49570.2, NADP-specific glutamate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDH1 PE=1 SV=2,2.00E+10,1.93E+10,1.79E+10,1.93E+10,1.84E+10,2.01E+10,34.22,34.17,34.06,34.17,34.10,34.23,0.08003,0.83171,0.89787,-0.01437,-0.11057,0.11057,0,0,0,2426,,,
50Vs5,Yeast,sp|P32447,3%,0%,3%,3%,3%,0,0,0,0,0,1,0,1,1,1,31603.1, Histone chaperone ASF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASF1 PE=1 SV=1,3.93E+06,1.75E+07,1.75E+07,1.64E+07,3.08E+06,1.41E+07,21.91,24.06,24.06,23.96,21.55,23.75,0.07905,0.83358,0.89953,0.25133,0.08696,0.08696,0,0,0,2427,,,
25Vs12.5,Yeast,sp|P33734,0%,0%,2%,2%,2%,0,0,0,0,0,0,0,1,1,1,61069.3, Imidazole glycerol phosphate synthase hisHF OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS7 PE=1 SV=2,2.50E+08,1.14E+09,1.16E+09,9.26E+08,8.54E+08,2.64E+08,27.90,30.09,30.11,29.79,29.67,27.98,0.07892,0.83384,0.89944,0.22390,0.08210,0.08210,0,0,0,2428,,,
50Vs5,Yeast,sp|P06780,12%,9%,13%,5%,0%,0,0,0,0,0,2,1,2,1,0,23152.0, GTP-binding protein RHO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RHO1 PE=1 SV=3,7.25E+08,6.52E+08,3.26E+08,4.05E+08,5.36E+08,5.85E+08,29.43,29.28,28.28,28.59,29.00,29.12,0.07861,0.83442,0.89969,0.09387,-0.06797,0.06797,0,0,0,2429,,,
25Vs12.5,Yeast,sp|P18961,1%,2%,2%,2%,1%,0,0,0,0,0,1,1,1,1,1,76669.0, Serine/threonine-protein kinase YPK2/YKR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPK2 PE=1 SV=1,1.08E+08,1.13E+08,1.49E+08,1.54E+08,1.14E+08,1.15E+08,26.69,26.76,27.15,27.20,26.76,26.77,0.07819,0.83524,0.90020,-0.04810,-0.42833,0.42833,0,0,0,2430,,,
50Vs0.5,Yeast,sp|P39077,0%,0%,4%,0%,2%,0,0,0,0,0,0,0,2,0,1,58814.7, T-complex protein 1 subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT3 PE=1 SV=2,4.59E+08,3.33E+08,4.14E+08,4.69E+08,4.75E+08,2.38E+08,28.77,28.31,28.62,28.81,28.82,27.83,0.07801,0.83559,0.90021,0.08383,-0.02061,0.02061,0,0,0,2431,,,
25Vs12.5,Yeast,sp|P32563,1%,2%,2%,1%,1%,0,0,0,0,0,1,1,2,1,1,95533.1," V-type proton ATPase subunit a, vacuolar isoform OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPH1 PE=1 SV=3",2.78E+08,1.75E+08,2.27E+08,1.76E+08,2.99E+08,2.41E+08,28.05,27.38,27.76,27.39,28.16,27.84,0.07652,0.83845,0.90292,-0.06793,-0.46555,0.46555,0,0,0,2432,,,
50Vs5,Yeast,sp|P38804,37%,18%,21%,19%,18%,0,0,0,0,0,2,1,2,1,1,12009.8, Restriction of telomere capping protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTC3 PE=1 SV=1,5.98E+08,8.18E+08,7.62E+08,9.39E+08,7.18E+08,4.75E+08,29.15,29.61,29.51,29.81,29.42,28.82,0.07643,0.83864,0.90275,0.07343,-0.08808,0.08808,0,0,0,2433,,,
50Vs0.5,Yeast,sp|P22202,15%,16%,13%,17%,18%,8,9,8,9,9,2,2,1,2,2,69652.7, Heat shock protein SSA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA4 PE=1 SV=3,4.64E+10,4.48E+10,4.01E+10,3.76E+10,4.66E+10,4.50E+10,35.43,35.38,35.22,35.13,35.44,35.39,0.07599,0.83948,0.90329,0.02643,-0.07319,0.07319,0,0,0,2434,,,
25Vs12.5,Yeast,sp|P23644,4%,6%,4%,4%,4%,0,0,0,0,0,1,1,1,1,1,42039.4, Mitochondrial import receptor subunit TOM40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM40 PE=1 SV=1,2.87E+08,2.32E+08,3.18E+08,2.83E+08,3.19E+08,2.54E+08,28.10,27.79,28.24,28.08,28.25,27.92,0.07562,0.84019,0.90367,-0.03733,-0.40813,0.40813,0,0,0,2435,,,
50Vs5,Yeast,sp|Q06705,3%,0%,0%,0%,0%,0,0,0,0,0,1,0,0,0,0,47464.4, Phosphatidylinositol transfer protein CSR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSR1 PE=1 SV=1,5.65E+07,3.54E+07,7.58E+07,6.74E+07,4.36E+07,4.31E+07,25.75,25.08,26.18,26.01,25.38,25.36,0.07552,0.84039,0.90353,0.08777,-0.07397,0.07397,0,0,0,2436,,,
50Vs0.5,Yeast,sp|P40016,3%,4%,3%,3%,3%,0,0,0,0,0,1,1,1,1,1,60396.3, 26S proteasome regulatory subunit RPN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN3 PE=1 SV=5,2.00E+08,2.07E+08,2.99E+08,2.14E+08,2.43E+08,2.18E+08,27.58,27.62,28.16,27.67,27.86,27.70,0.07537,0.84068,0.90346,0.04447,-0.05667,0.05667,0,0,0,2437,,,
50Vs5,Yeast,sp|P40850,5%,3%,2%,2%,2%,0,0,0,0,0,3,2,1,1,1,94499.4, Protein MKT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MKT1 PE=1 SV=2,3.46E+08,3.06E+08,2.81E+08,3.11E+08,3.04E+08,3.01E+08,28.37,28.19,28.06,28.21,28.18,28.17,0.07457,0.84223,0.90475,0.02010,-0.14055,0.14055,0,0,0,2438,,,
25Vs12.5,Yeast,sp|Q01217,0%,0%,0%,3%,0%,0,0,0,0,0,0,0,0,1,0,94872.2," Protein ARG5,6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG5,6 PE=1 SV=1",8.12E+07,7.43E+07,1.79E+07,3.49E+07,9.62E+07,2.04E+07,26.28,26.15,24.09,25.06,26.52,24.28,0.07454,0.84228,0.90444,0.21787,0.07078,0.07078,0,0,0,2439,,,
50Vs0.5,Yeast,sp|P37292,8%,8%,8%,10%,10%,0,0,0,0,0,2,3,2,3,3,53688.0," Serine hydroxymethyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHM1 PE=1 SV=2",1.89E+09,1.73E+09,1.80E+09,1.73E+09,1.71E+09,1.93E+09,30.82,30.68,30.75,30.69,30.67,30.85,0.07435,0.84266,0.90448,0.01543,-0.08327,0.08327,0,0,0,2440,,,
50Vs5,Yeast,sp|Q00955,7%,6%,5%,4%,5%,0,0,0,0,0,11,11,8,6,8,250359.5, Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACC1 PE=1 SV=2,4.74E+09,3.06E+09,2.97E+09,3.71E+09,3.57E+09,2.90E+09,32.14,31.51,31.47,31.79,31.73,31.43,0.07432,0.84270,0.90415,0.05503,-0.10618,0.10618,0,0,0,2441,,,
50Vs5,Yeast,sp|P16140,31%,37%,38%,34%,35%,0,0,0,0,0,11,14,14,13,14,57751.6, V-type proton ATPase subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA2 PE=1 SV=2,9.25E+09,8.16E+09,8.40E+09,8.77E+09,8.88E+09,8.37E+09,33.11,32.93,32.97,33.03,33.05,32.96,0.07402,0.84330,0.90443,-0.01350,-0.17361,0.17361,0,0,0,2442,,,
50Vs5,Yeast,sp|P38886,7%,5%,5%,5%,10%,0,0,0,0,0,1,1,1,1,2,29747.4, 26S proteasome regulatory subunit RPN10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN10 PE=1 SV=3,3.69E+08,3.81E+08,2.79E+08,3.10E+08,3.07E+08,3.79E+08,28.46,28.51,28.05,28.21,28.19,28.50,0.07307,0.84514,0.90603,0.03860,-0.12235,0.12235,0,0,0,2443,,,
